source,source_date,raw_mention,activity_id,match_type,mention_date,discipline,split,near_miss_kind,missing_discriminator,confusable_with
dpr_day_01.txt,2026-03-11,"Work front opened for Roadside drain slabs, approach road on 14 Mar 2026",CIV-DRA-1051,exact,2026-03-14,civil,train,,,
dpr_day_01.txt,2026-03-11,"Clearing and grubbing, well pad and approach road completed 9 Mar",CIV-SRV-1002,exact,2026-03-09,civil,train,,,
dpr_day_01.txt,2026-03-11,"Approach road widening, OIL main gate to site (Ch 0-400) in progress, 246 of 400 lm achieved",CIV-EXC-1049,exact,,civil,dev,,,
dpr_day_01.txt,2026-03-11,"Work front opened for Bench marking and centre-line offsets, all areas on 2026-03-10",CIV-YRD-1054,exact,2026-03-10,civil,train,,,
dpr_day_01.txt,2026-03-11,"Topographic survey and grid establishment, well-site boundary — 3921 of 4800 m2 done",CIV-SRV-1001,exact,,civil,train,,,
dpr_day_01.txt,2026-03-11,"Cut and fill to formation level, well pad Unit 2 ongoing",CIV-EXC-1004,exact,,civil,train,,,
dpr_day_01.txt,2026-03-11,Erection of temporary site office and stores ongoing,HSE-TMP-1040,exact,,hse,dev,,,
dpr_day_01.txt,2026-03-11,Fabrication shed and pipe yard establishment started 12 Mar 2026,HSE-TMP-1053,exact,2026-03-12,hse,dev,,,
dpr_day_01.txt,2026-03-11,"Crew working on Set and terminate transformer, 11/0.433 kV, as of 8 Mar 2026",EL-TRF-1372,near_miss,2026-03-08,electrical,test,discriminator_omitted,1 / 2,EL-TRF-1371
dpr_day_01.txt,2026-03-11,"Progressed the V-1201 scope today, 76% complete",CIV-FDN-1107,near_miss,,civil,test,shared_tag,which activity on V-1201,CIV-FDN-1108|CIV-FDN-1109|STA-SET-1203
dpr_day_01.txt,2026-03-11,"TK-2102 — crew on site, progress steady, as of 8 Mar",STA-DRY-1522,near_miss,2026-03-08,static_equipment,train,shared_tag,which activity on TK-2102,CIV-FDN-1152|STA-TNK-1234|STA-TNK-1235
dpr_day_01.txt,2026-03-11,"18""-P-1301-B7A — crew on site, progress steady, as of 9 Mar",PIP-ERC-1330,near_miss,2026-03-09,piping,dev,shared_tag,"which activity on 18""-P-1301-B7A",PIP-HYT-1512
dpr_day_01.txt,2026-03-11,"20""-P-2001-A1A — crew on site, progress steady",PIP-ERC-1321,near_miss,,piping,train,shared_tag,"which activity on 20""-P-2001-A1A",PIP-HLT-1325
dpr_day_01.txt,2026-03-11,"Crew working on Mechanical Completion Unit 2, as of 10/03/2026",HSE-MS-1501,near_miss,2026-03-10,hse,dev,discriminator_omitted,1 / 2,HSE-MS-1500
dpr_day_01.txt,2026-03-11,"NCR raised by the client on concrete cube results, under review",NO_MATCH,no_match,,,train,,,
dpr_day_01.txt,2026-03-11,Night shift cancelled due to lighting tower breakdown,NO_MATCH,no_match,,,test,,,
dpr_day_01.txt,2026-03-11,"Snake sighting reported near the tank farm, area cordoned",NO_MATCH,no_match,,,test,,,
dpr_day_02.txt,2026-03-22,"BC course laying, approach road completed 23/03/2026",CIV-RDS-1050,exact,2026-03-23,civil,train,,,
dpr_day_02.txt,2026-03-22,"Cut and fill to formation level, well pad Unit 1 — progress slow, 55% only",CIV-EXC-1003,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Excavation for flare pit and burn area, manifold south, 336 of 720 m3 complete so far",CIV-EXC-1030,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Excavate unsuitable material, Unit 1 pad ongoing",CIV-EXC-1005,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Place and compact selected fill, Unit 1 pad completed 2026-03-25",CIV-FIL-1006,exact,2026-03-25,civil,train,,,
dpr_day_02.txt,2026-03-22,"Crusher fines laying, equipment laydown yard held up, awaiting client RFI clearance",CIV-YRD-1046,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Bulk excavation, Unit 2 wellhead cellar completed",CIV-EXC-1020,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Roadside drain slabs, approach road, 173 of 380 m complete so far",CIV-DRA-1051,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Approach road widening, OIL main gate to site (Ch 0-400) completed 20 Mar",CIV-EXC-1049,exact,2026-03-20,civil,dev,,,
dpr_day_02.txt,2026-03-22,"Clearing and grubbing, well pad and approach road in progress, 4435 of 6200 m2 achieved",CIV-SRV-1002,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Cut and fill to formation level, well pad Unit 2 stopped, material shortage at store",CIV-EXC-1004,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Bench marking and centre-line offsets, all areas ongoing",CIV-YRD-1054,exact,,civil,train,,,
dpr_day_02.txt,2026-03-22,"Temporary power distribution boards and cabling in progress, 1 nos out of 1 achieved, as of 22/Mar/2026",HSE-TMP-1042,exact,2026-03-22,hse,dev,,,
dpr_day_02.txt,2026-03-22,"Safety signage and barricading, phase 1 work fronts stopped, material shortage at store",HSE-SGN-1043,exact,,hse,test,,,
dpr_day_02.txt,2026-03-22,"Establish emergency muster points and wind socks in progress, 2 nos out of 4 achieved, as of 22/03/2026",HSE-SGN-1044,exact,2026-03-22,hse,dev,,,
dpr_day_02.txt,2026-03-22,Install temporary water supply and septic facility completed yesterday,HSE-TMP-1041,exact,2026-03-21,hse,test,,,
dpr_day_02.txt,2026-03-22,Fabrication shed and pipe yard establishment is done and signed off,HSE-TMP-1053,exact,,hse,dev,,,
dpr_day_02.txt,2026-03-22,Erection of temporary site office and stores closed out 16 Mar,HSE-TMP-1040,exact,2026-03-16,hse,dev,,,
dpr_day_02.txt,2026-03-22,"Work continuing on 10""-P-1602-B1A, about 32% done",PIP-UGS-1174,near_miss,,piping,test,shared_tag,"which activity on 10""-P-1602-B1A",PIP-UGS-1170|PIP-UGS-1171|PIP-UGS-1172|PIP-UGS-1173|PIP-UGS-1175|PIP-ERC-1352
dpr_day_02.txt,2026-03-22,"Erect rack steel, (Ch ) ongoing at site",PIP-ERC-1301,near_miss,,piping,train,discriminator_omitted,2 / 40 / 110 / 3,PIP-ERC-1302
dpr_day_02.txt,2026-03-22,"for firewater main and, balance to be completed next week",PIP-UGS-1170,near_miss,,piping,test,adjacent_sequence,1 / for / grp / joint / lay / manifold,PIP-UGS-1171|PIP-UGS-1172
dpr_day_02.txt,2026-03-22,"Crew working on Pull MV cable 11 kV, substation to transformer",EL-CBL-1375,near_miss,,electrical,test,discriminator_omitted,1 / 2,EL-CBL-1374
dpr_day_02.txt,2026-03-22,"Cut and fill to formation level, well, balance to be completed next week",CIV-EXC-1003,near_miss,,civil,train,discriminator_omitted,1 / 2,CIV-EXC-1004
dpr_day_02.txt,2026-03-22,"JB-101 — crew on site, progress steady",INS-TER-1398,near_miss,,instrumentation,dev,shared_tag,which activity on JB-101,INS-JBX-1395|INS-CBL-1396|INS-CBL-1397
dpr_day_02.txt,2026-03-22,"PPE stock replenished, 120 helmets received",NO_MATCH,no_match,,,train,,,
dpr_day_02.txt,2026-03-22,Third party inspection agency mobilised for weld review,NO_MATCH,no_match,,,train,,,
dpr_day_03.txt,2026-04-01,"Proof roll and level survey, Unit 1 pad formation completed 31 Mar 2026",CIV-FIL-1007,exact,2026-03-31,civil,test,,,
dpr_day_03.txt,2026-04-01,"Soil erosion protection jute matting, embankment slopes completed 28 Mar 2026",CIV-DRA-1055,exact,2026-03-28,civil,train,,,
dpr_day_03.txt,2026-04-01,"Anti-termite treatment and PCC blinding, Unit 2 pad is done and signed off",CIV-FLR-1021,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Sub-grade preparation, internal access road Unit 1, 243 of 320 lm complete so far",CIV-RDS-1010,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Rock breaking and muck disposal, flare stack base FST-1301 — closed out this week",CIV-EXC-1031,exact,,civil,test,,,
dpr_day_03.txt,2026-04-01,"Geotextile separation layer, Unit 2 pad started 3 Apr",CIV-FLR-1022,exact,2026-04-03,civil,train,,,
dpr_day_03.txt,2026-04-01,"Chain-link fencing with posts, site perimeter is done and signed off",CIV-FNC-1032,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Crusher fines laying, equipment laydown yard — completed on 27 Mar 2026",CIV-YRD-1046,exact,2026-03-27,civil,train,,,
dpr_day_03.txt,2026-04-01,"Bulk excavation, Unit 2 wellhead cellar — progress slow, 55% only",CIV-EXC-1020,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Roadside drain slabs, approach road ongoing",CIV-DRA-1051,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Approach road widening, OIL main gate to site (Ch 0-400) started 30 Mar",CIV-EXC-1049,exact,2026-03-30,civil,dev,,,
dpr_day_03.txt,2026-04-01,"Excavate unsuitable material, Unit 1 pad in progress, 416 of 850 m3 achieved",CIV-EXC-1005,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Work front opened for BC course laying, approach road on 31/Mar/2026",CIV-RDS-1050,exact,2026-03-31,civil,train,,,
dpr_day_03.txt,2026-04-01,"Excavation for flare pit and burn area, manifold south is done and signed off",CIV-EXC-1030,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Place and compact selected fill, Unit 1 pad stopped, material shortage at store",CIV-FIL-1006,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Cut and fill to formation level, well pad Unit 1 ongoing",CIV-EXC-1003,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,"Cut and fill to formation level, well pad Unit 2 taken up at site",CIV-EXC-1004,exact,,civil,train,,,
dpr_day_03.txt,2026-04-01,Establish emergency muster points and wind socks under way at the work front,HSE-SGN-1044,exact,,hse,dev,,,
dpr_day_03.txt,2026-04-01,"Safety signage and barricading, phase 1 work fronts closed out 2026-03-20",HSE-SGN-1043,exact,2026-03-20,hse,test,,,
dpr_day_03.txt,2026-04-01,Temporary power distribution boards and cabling — 1 nos out of 1 done,HSE-TMP-1042,exact,,hse,dev,,,
dpr_day_03.txt,2026-04-01,"Install temporary water supply and septic facility in progress, 1 nos out of 1 achieved, as of 2026-04-01",HSE-TMP-1041,exact,2026-04-01,hse,test,,,
dpr_day_03.txt,2026-04-01,firewater main to ongoing at site,PIP-UGS-1172,near_miss,,piping,test,adjacent_sequence,1 / for / grp / joint / lay / manifold,PIP-UGS-1170|PIP-UGS-1171
dpr_day_03.txt,2026-04-01,"Erect rack steel, Module, work in progress",PIP-ERC-1300,near_miss,,piping,train,adjacent_sequence,0 / 1 / 2 / 80 / multi / tier,PIP-ERC-1301
dpr_day_03.txt,2026-04-01,"Progressed the P-1401A scope today, 75% complete",STA-ROT-1524,near_miss,,static_equipment,test,shared_tag,which activity on P-1401A,STA-MCH-1240|STA-MCH-1241|STA-MCH-1242|PIP-ERC-1341|EL-CBL-1376|STA-ROT-1523
dpr_day_03.txt,2026-04-01,"Work continuing on V-1201, about 62% done",CIV-FDN-1108,near_miss,,civil,test,shared_tag,which activity on V-1201,CIV-FDN-1107|CIV-FDN-1109|STA-SET-1203
dpr_day_03.txt,2026-04-01,Anchor and flare stack ongoing at site,CIV-FDN-1127,near_miss,,civil,test,adjacent_sequence,blocks / bolts / foundation / guy / template,CIV-FDN-1126
dpr_day_03.txt,2026-04-01,"Heavy rainfall from 1400 hrs, all work fronts stopped for the day",NO_MATCH,no_match,,,train,,,
dpr_day_03.txt,2026-04-01,"Rework of the guardhouse plinth after client comment, VO pending",NO_MATCH,no_match,,,train,,,
dpr_day_04.txt,2026-04-20,"Separator foundation, reinforcement and pour, V-2101 — completed on 18/04/2026",CIV-FDN-1117,exact,2026-04-18,civil,dev,,,
dpr_day_04.txt,2026-04-20,Excavation for foundations V-1101/V-1201 and plinths WHP-1101/WHP-1102 ongoing,CIV-EXC-1100,exact,,civil,dev,,,
dpr_day_04.txt,2026-04-20,"Culvert placement at road crossing, Unit 1 approach in progress, 1 nos out of 2 achieved",CIV-DRA-1015,exact,,civil,test,,,
dpr_day_04.txt,2026-04-20,"Foundation for wellhead control panel, Unit 2 is done and signed off",CIV-FDN-1116,exact,,civil,train,,,
dpr_day_04.txt,2026-04-20,"Fencing, approach road stretch in progress, 205 of 420 m achieved, as of 19 Apr",CIV-FNC-1052,exact,2026-04-19,civil,test,,,
dpr_day_04.txt,2026-04-20,"Dyke wall construction, tank farm bund, 66 of 210 m3 complete so far",CIV-FDN-1154,exact,,civil,dev,,,
dpr_day_04.txt,2026-04-20,"Ring wall foundation, storage tank TK-2102 started 2026-04-18",CIV-FDN-1152,exact,2026-04-18,civil,train,,,
dpr_day_04.txt,2026-04-20,"Reinforcement fabrication and placement, separator foundation V-1101 closed out 23 Apr",CIV-FDN-1102,exact,2026-04-23,civil,dev,,,
dpr_day_04.txt,2026-04-20,"Ring wall foundation, storage tank TK-2101 — 72 of 120 m3 done, as of today",CIV-FDN-1150,exact,2026-04-20,civil,train,,,
dpr_day_04.txt,2026-04-20,"Sleeper and column footings, pipe rack Module 1 — completed on 20/Apr/2026",CIV-FDN-1165,exact,2026-04-20,civil,train,,,
dpr_day_04.txt,2026-04-20,"Wellhead plinth concreting, WHP-1101 and WHP-1102 closed out 2026-04-24",CIV-FDN-1110,exact,2026-04-24,civil,train,,,
dpr_day_04.txt,2026-04-20,"Granular sub-base and WMM laying, internal road Unit 1 ongoing",CIV-RDS-1011,exact,,civil,train,,,
dpr_day_04.txt,2026-04-20,"Lay and compact WMM course, road U1 Ch 160-320 in progress, 65 of 160 lm achieved",CIV-RDS-1013,exact,,civil,train,,,
dpr_day_04.txt,2026-04-20,"Flare stack foundation and guy anchor blocks, FST-1301 in progress, 13 of 38 m3 achieved",CIV-FDN-1126,exact,,civil,test,,,
dpr_day_04.txt,2026-04-20,"Annular plate leveling and grout bed, TK-2101 started 2026-04-22",CIV-FDN-1151,exact,2026-04-22,civil,train,,,
dpr_day_04.txt,2026-04-20,"Hydrotest firewater main the ten inch line, Unit 1 to Unit 2 section — completed on 16/04/2026",PIP-UGS-1173,exact,2026-04-16,piping,test,,,
dpr_day_04.txt,2026-04-20,"Lay and joint GRP firewater main 10""-P-1602-B1A in progress, 342 of 480 m achieved, as of 18 Apr 2026",PIP-UGS-1171,exact,2026-04-18,piping,test,,,
dpr_day_04.txt,2026-04-20,"Firewater hydrant and monitor bases, ring main the ten inch line in progress, 7 nos out of 8 achieved",PIP-UGS-1175,exact,,piping,test,,,
dpr_day_04.txt,2026-04-20,"Oily water sewer line 6""-P-2103-C5B, tank farm to OWS-2201 — 70 of 130 m done, as of 19 Apr",PIP-UGS-1155,exact,2026-04-19,piping,test,,,
dpr_day_04.txt,2026-04-20,"Chamber and catch pit construction, OWS outfall, finished 20 Apr, JMR raised",PIP-UGS-1156,exact,2026-04-20,piping,dev,,,
dpr_day_04.txt,2026-04-20,"Firewater underground tie-ins and hydrant branches, ring main 10""-P-1602-B1A — 6 nos out of 9 done",PIP-ERC-1352,exact,,piping,test,,,
