source_file,source_page,source_date,contract_id,raw_mention,candidate_activity_ids_json,activity_id,match_type,data_origin,is_real,source_artifact_id,annotation_origin,verification_status
raw/wsdot/C8078/idrs/IDR-2011-02-10.pdf,1,2011-02-10,C8078,A.Test the confined and unconfined bubble curtain.,"[""1055""]",1055,single_machine_candidate,real,True,sha256:fefaeb86f43d8a9f70c3ea946faadb03401e5320f7e3d1ad63a7262bb53c8166,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-11-2.pdf,1,2011-02-11,C8078,A-MobilizingtositeAin Oregonforinstallationof testpiles.Installing the24inch test pile A-1 at location A-3.,"[""1060"", ""1050""]",,multiple_machine_candidates,real,True,sha256:cf5e4904d8d3d8a6d86618e62d26fb1d5f6c59e4436c92ac472f7285e1703d80,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-11-TN.pdf,1,2011-02-11,C8078,"A.Mobe to site A in Oregon. Install 24"" test pile A-1 at location A-3. Install unconfined bubble curtain on pile A-1.Perform structure survey on test pile A-1.Perform dynamic pile testing on pile A-1.","[""1060"", ""1055"", ""1130""]",,multiple_machine_candidates,real,True,sha256:8ebb0dbf1665e761384ace40e33b7e8c6b920e7bf093f382a616c8c1aa0dfe8d,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-12-TN.pdf,1,2011-02-12,C8078,"A. install 48"" test pile A-3 at location A-4. Install unconfined bubble curtain on pile A-3. Perform structure survey on test pile A-3.Perform dynamic pile testing on pileA-3.","[""1080"", ""1055""]",,multiple_machine_candidates,real,True,sha256:696898dd1bfff93046c1d0a8ebcf03e5b12dc2576f015a5aaa6ac5a2f17df1e7,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-12.pdf,1,2011-02-12,C8078,"A-Barge on the Oregon side of theColumbia Riveris installing the 48"" test pileA-3 at the locationA-4.","[""1080""]",1080,single_machine_candidate,real,True,sha256:0c1511cc6a28aa2c215c7ed05ed4afc7e74790d1e8dc2aeed199fabe19462dfa,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-14.pdf,1,2011-02-14,C8078,"A.Perform 48HR restrike on pile A-1. Remove 24"" pile A-1 from location A-3 and install pile A-2 at location A-2.Perform structure survey on pile A-2. Perform dynamic pile testing on pile A-2.","[""1140"", ""1180"", ""1070""]",,multiple_machine_candidates,real,True,sha256:8f2ecce89c381b3d1fe19cedc6f6c27cc4ac240f0e5eb82c7bb50f18fe87f4f1,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-15.pdf,1,2011-02-15,C8078,"A.Perform 48HR restrike on pile A-3.Attempt to remove 48""pile A-3 from location A-4 but the pile will not come out. Install 48"" pile A-4 in location A-1. Perform structure survey on pile A-4. Perform dynamic pile testing on pile A-3 and A-4.","[""1160"", ""1180"", ""1090""]",,multiple_machine_candidates,real,True,sha256:3980eb3cf5bab345aed50fb6bb7f45e02ae9c7341c6af9dad6301045b10bbfe6,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-16-TN.pdf,1,2011-02-16,C8078,A. Install pile B-2 in B-2 location. Install confined bubble curtain on pile B-2. Perform structure survey on pile B-2.Perform dynamic pile testing on pileB-2.,"[""1120"", ""1065""]",,multiple_machine_candidates,real,True,sha256:1f95690331aedc4d413fcafc448440389aee3288cabf06408899cdb1456dd097,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-16.pdf,1,2011-02-16,C8078,A-Barge moving to theWashington sideof theColumbiaRiver andinstalling the 48”test pile B-2.,"[""1120""]",1120,single_machine_candidate,real,True,sha256:cbfa3ca084e47c06749ddbdac91a79d53aed84d7dcc133a150812e9e45efa383,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-17-TN.pdf,1,2011-02-17,C8078,A.Install pile B-1 in B-1 location. Install confined bubble curtain on pile B-1. Perform structure survey on pile B-1.Perform dynamic pile testing on pile B-1 and 48HR restrike on pile A-2 in A-2 location.Mobe from site B to site A.Remove pile A-2 in A-2 location.,"[""1110"", ""1150"", ""1180"", ""1065""]",,multiple_machine_candidates,real,True,sha256:3e8d5e56e40631577d9419fe0d618c462aab48a2a6742469b4045a3199b121c9,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-17.pdf,1,2011-02-17,C8078,A-InstallingpileB-1on theWashington side andmovingthebarge to theOregonside of theColumbiaRiverforpilerestikesandremoval.,"[""1110""]",1110,single_machine_candidate,real,True,sha256:6c77197f81ddbd674985c1ce18759fe2afd57fc0b6ceccc6eb5c15d9b67ad263,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-18.pdf,1,2011-02-18,C8078,A.Remove pile A-4 in A-1 location and A-3 in A-4 location. Perform HR restrike on pile A -4 in A-1 .,"[""1180"", ""1170""]",,multiple_machine_candidates,real,True,sha256:efd78d234fa50ead725ef0599cfec200e63eeebe3d1ee4970d201fed480a0aa1,machine_ocr_plus_rules,machine_candidate_unverified
raw/wsdot/C8078/idrs/IDR-2011-02-21.pdf,1,2011-02-21,C8078,A.Perform 48 hour restrike on pile B-2 and B-1. Remove pile B-2 and B-1.,"[""1210"", ""1220""]",,multiple_machine_candidates,real,True,sha256:8911f347f3035de887e220394fd5d1fe9f30777114778579aeaedcd1b7d7d133,machine_ocr_plus_rules,machine_candidate_unverified
