CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-00000001,A.2.01,entity:,site,,,A geographical surface that can be identified on a map,,,,,,Owner/Operator,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000240,,attribute:,site,measurement system code,,The default measurement system that is used by a site,,Example : SI,Mandatory,"Text, max 10 characters",measurement system,,,is used by default at,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000003,,attribute:,site,site code,,A code that uniquely identifies the site,,Example : KAS,Identifier,"Text, max 40 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000004,,attribute:,site,site name,,A unique name to identify a geographical location,,Example : Kashagan field,Mandatory,"Text, max 100 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-00000031,A.2.02,entity:,plant,,,"An assembly of equipment that perform a physical or chemical process, including production, transportation and storage","A Plant represents the ''high level'' function to be performed, and during the design, a Plant is decomposed in Process Units and Tags.",,,,,Owner/Operator,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000367,,attribute:,plant,industrial complex code,,A code that uniquely identifies the industrial complex,,Example : VSI,Optional,"Text, max 40 characters",industrial complex,,,includes,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000147,,attribute:,plant,ISO language code,,The language that should be used by default for all exchange of information related to that plant,,Example : EN,Optional,"Text, max 2 characters",iso language,,,is the language used by default for projects at,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000240,,attribute:,plant,measurement system code,,The default measurement system that is used by a plant,,Example : SI,Optional,"Text, max 10 characters",measurement system,,,is the system used by defaults for projects at,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000005,,attribute:,plant,plant code,,A code that uniquely identifies the plant,,Example : 6000,Identifier,"Text, max 40 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000006,,attribute:,plant,plant name,,The full name of the plant,,Example : Onshore Processing Facility (OPF),Mandatory,"Text, max 100 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000003,,attribute:,plant,site code,,A code that uniquely identifies the site,,Example : KAS,Optional,"Text, max 40 characters",site,,,includes,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
CFIHOS-00000002,A.2.03,entity:,process unit,,,A decomposition of the ''high level'' Facility function into more granular ''sub-functions'',This facility breakdown structure is decided by the process engineer.,,,,,Owner/Operator,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000005,,attribute:,process unit,plant code,,The plant the process unit is part of,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,is functionally divided in,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,13,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000157,,attribute:,process unit,process unit code,,A code that uniquely identifies the process unit within the plant,,Example : 36,Identifier,"Text, max 40 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,14,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000008,,attribute:,process unit,process unit name,,A name describing the function of the process unit,,Example : Inlet compression,Mandatory,"Text, max 100 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,15,source_reference_record,source_reference_record_unreviewed
CFIHOS-00000003,A.2.04,entity:,area,,,A geographical surface occupied by a Plant,A plant area is created to identify the physical location of an equipment within a plant.,,,,,EPC,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,16,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000001,,attribute:,area,area code,,A code that uniquely identifies the area within the plant,,Example : Topsides,Identifier,"Text, max 10 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,17,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000002,,attribute:,area,area name,,A name describing the location of an area within the plant,,Example : Topsides Deck 1,Mandatory,"Text, max 100 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,18,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000005,,attribute:,area,plant code,,The plant the area is part of,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,is geographically divided in,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,19,source_reference_record,source_reference_record_unreviewed
CFIHOS-00000026,A.2.05,entity:,construction assembly,,,A grouping of tags intended to be assembled and installed as a whole,Tag modules are created to facilitate fabrication during the project.,,,,,EPC,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,20,source_reference_record,source_reference_record_unreviewed
CFIHOS-10000130,,attribute:,construction assembly,construction assembly code,,A code that uniquely identifies the construction assembly at a plant,,Example : CIU,Identifier,"Text, max 10 characters",,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE data dictionary v2.0.csv,21,source_reference_record,source_reference_record_unreviewed
