CFIHOS unique code,discipline code,discipline name,discipline description,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-20000001,AA,project management and engineering,"A macro discipline covering the administrative and management related items associated with a major capital project, including organization, cross-engineering discipline philosophies, basis of design, regulatory activities, etc.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000002,BA,construction,"A macro discipline covering the specification and management of field installation and hook up of facilities.  May includes but is not limited to installation, transportation, fabrication, construction and mechanical completion related information.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000003,CB,architectural engineering,A civil engineering specialty addressing the design of buildings meant for occupancy.,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000004,CG,geotechnical engineering,A civil engineering specialty addressing the engineering behaviors of earth materials.,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000005,CI,infrastructure engineering,"A civil engineering specialty addressing systems necessary to support a site, including but not limited to roads, ports, sewer, utilities, and power.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000006,CS,structural engineering,"A civil engineering specialty addressing the design of structures which resist loads, specifically constructed of concrete and steel.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000007,CX,civil engineering,"A discipline addressing the design and maintenance of earthworks, including but not limited to levees, berms, grade, and drainage.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000008,EA,electrical engineering,A discipline addressing the design and application of circuitry and equipment for power generation and distribution,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000009,FA,cost and planning management,"A discipline addressing the management of project cost and schedule, involving such activities as estimating, cost control, cost and schedule forecasting, investment appraisal and risk analysis",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000010,HE,environmental,"A discipline addressing the interface between capital project and the natural environment, specifically addressing risk analysis and mitigation to impact to air, water, flora and fauna.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000011,HH,health,A discipline addressing the health and welfare of personnel engaged in work or employment,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000012,HP,security,"A discipline addressing assessment of condition, analysis of risk and mitigation of potential harm to physical assets from external forces.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000013,HS,safety,"A discipline addressing assessment of condition, analysis of risk and mitigation of potential harm to personnel as a result of their working conditions or behaviors",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,13,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000014,HX,"health, safety, environmental and security","A macro discipline used to classify content generally addressing a combination of 'safety', 'security', 'health' and 'environmental', or any combination thereof.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,14,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000015,IN,instrumentation engineering,A discipline addressing the design and application of monitoring and control systems.,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,15,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000016,JA,information management,A discipline addressing the collection and management of information both in document and data formats,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,16,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000017,KA,information technology,"A discipline addressing internal networks, security, and equipment to store, retrieve, transmit and manipulate data at a facility, etc.  Specifically excluded facility control systems.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,17,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000018,LA,pipeline engineering,"A discipline addressing the systems that are used to transport liquids and gases. Including but not limited to pipeline design hydraulics, routes & stability,specification and other accessories such as cathodic protection, pigging equipment etc.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,18,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000019,MH,"heating, ventilating, and air conditioning","A mechanical engineering specialty addressing the design and application of systems for heating, ventilation, and/or air-conditioning (HVAC)",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,19,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000020,MP,piping engineering,"A mechanical engineering specialty addressing the design, routing, and control of flow inside process and utilities via piping and related specialty equipment",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,20,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000021,MR,mechanical rotating engineering,"A mechanical engineering specialty addressing mechanical components used to add kinetic energy to any process in order to make a material move. The equipment may include pumps, turbines, gearboxes, compressors, engines, etc.",real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE discipline v2.0.csv,21,source_reference_record,source_reference_record_unreviewed
