source standard document and data requirement CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,asset type reference,source standard CFIHOS unique code,source standard code,document type CFIHOS unique code,document type name,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-68000505,CFIHOS-30000315,accumulator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000506,CFIHOS-30000315,accumulator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000507,CFIHOS-30000315,accumulator,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000508,CFIHOS-30000315,accumulator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000509,CFIHOS-30000315,accumulator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000510,CFIHOS-30000102,agitator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000511,CFIHOS-30000102,agitator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000512,CFIHOS-30000102,agitator,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000513,CFIHOS-30000102,agitator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000514,CFIHOS-30000382,air conditioner,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000017,assembly diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000515,CFIHOS-30000382,air conditioner,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000181,installation manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000516,CFIHOS-30000382,air conditioner,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000517,CFIHOS-30000382,air conditioner,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,13,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000518,CFIHOS-30000382,air conditioner,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,14,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000519,CFIHOS-30000382,air conditioner,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,15,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000520,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,16,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000521,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000181,installation manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,17,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000522,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,18,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000523,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,19,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000524,CFIHOS-30000104,air handling unit,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,20,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000525,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,21,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000526,CFIHOS-30000319,battery charger,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000017,assembly diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,22,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000527,CFIHOS-30000319,battery charger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,23,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000528,CFIHOS-30000319,battery charger,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,24,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000529,CFIHOS-30000319,battery charger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,25,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000530,CFIHOS-30000562,belt conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,26,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000531,CFIHOS-30000562,belt conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,27,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000532,CFIHOS-30000562,belt conveyor,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,28,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000533,CFIHOS-30000562,belt conveyor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,29,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000534,CFIHOS-30000562,belt conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,30,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000535,CFIHOS-30000518,blower,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,31,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000536,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,32,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000537,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,33,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000538,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,34,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000539,CFIHOS-30000522,centrifuge,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,35,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000540,CFIHOS-30000522,centrifuge,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,36,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000541,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,37,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000542,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,38,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000543,CFIHOS-30000385,condenser,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,39,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000544,CFIHOS-30000385,condenser,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,40,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000545,CFIHOS-30000385,condenser,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,41,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000546,CFIHOS-30000385,condenser,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,42,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000547,CFIHOS-30000403,conductivity cell,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,43,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000548,CFIHOS-30000403,conductivity cell,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,44,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000549,CFIHOS-30000403,conductivity cell,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,45,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000550,CFIHOS-30000403,conductivity cell,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,46,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000551,CFIHOS-30000325,conductivity transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,47,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000552,CFIHOS-30000325,conductivity transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,48,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000553,CFIHOS-30000325,conductivity transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,49,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000554,CFIHOS-30000564,conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,50,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000555,CFIHOS-30000564,conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE document required per class v2.0.csv,51,source_reference_record,source_reference_record_unreviewed
