equipment class CFIHOS unique code,equipment class name,property CFIHOS unique code,property name,property relevant for equipment indicator,property relevant for model / part indicator,SI unit of measure CFIHOS unique code,SI unit of measure name,imperial unit of measure CFIHOS unique code,imperial unit of measure name,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000009,ATEX category,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000011,ATEX group,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000634,calibration range,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000108,explosion protection concept,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000110,explosion protection gas group,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000612,explosion protection material group,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000111,explosion protection notified body,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class property v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
