parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
other mechanical equipment,CFIHOS-30000001,beam clamp,An equipment item that can be clamped to a beam to provide an attachment.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
vehicle,CFIHOS-30000002,bicycle,"A two or three wheeled vehicle designed to be propelled solely by human power, or a two or three wheeled vehicle that is a power assisted pedal cycle.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000003,blow out preventer,An artefact which is a stack or an assembly of heavy-duty valves intended to be attached to the top of the casing to control the well pressure.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
"health, safety and environment equipment class",CFIHOS-30000004,break glass unit,A device for actuating an alarm system that required a person to break the glass cover.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
"health, safety and environment equipment class",CFIHOS-30000005,breathing apparatus,A respirator in which air or oxygen is fed to a face mask carried by the wearer via a demand valve.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
infrastructure,CFIHOS-30000006,bridge,Is a support structure intended to span a space.,no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
enclosure,CFIHOS-30000007,cabinet,Is an enclosure intended to hold and protect electrical components.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
enclosure,CFIHOS-30000008,caisson,A protective device used to protect equipment (e.g. riser pipes and submerged pumps) against environmental exposure.,no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
level transmitter,CFIHOS-30000010,capacitance level transmitter,A level transmitter which uses the capacitance of the process material.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
vehicle,CFIHOS-30000011,car,A vehicle of less than 3.5 tonnes for transporting people and small goods.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
IT and telecom equipment,CFIHOS-30000012,cctv camera,Closed-Circuit TeleVision Camera capable of acquiring and delivering to a recording device full-motion video.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
lifting device,CFIHOS-30000013,chain hoist,"A hoist utilizing a chain-rope for suspending load. Chain hoists are delivered as portable units or for permanent mounting, e.g. on a crane. They can be hand operated or air powered, electrical powered or hydraulic powered.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
infrastructure,CFIHOS-30000014,chimney,Is a shaft (civil) intended to transport flue gas to a high location in the atmosphere. It may also be used to supply fresh air via a separate flue.,no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,13,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000016,clamp,"A mechanical device made for keeping objects firmly in place or position, temporary or permanently.",no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,14,source_reference_record,source_reference_record_unreviewed
