property group allowed for purpose CFIHOS unique code,property grouping or decomposition purpose CFIHOS unique code,property grouping purpose code,property grouping purpose description,source standard CFIHOS unique code,source standard code,property group CFIHOS unique code,property group code,property group description,property to group assignment CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,property sequence number,,,,,,,,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-42000407,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000151,S703-FLD-349,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000001,CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000429,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000173,S703-FLD-372,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000002,CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000457,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000201,S704-FLD-349,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000003,CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000484,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000228,S704-FLD-382,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000004,CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000487,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000251,S733-FLD-168,Documentation,CFIHOS-44000005,CFIHOS-30000805,alternating current motor,CFIHOS-40001387,adjustable speed drive operation curve requirements,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000453,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000197,S704-FLD-344,Vibration,CFIHOS-44000006,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000480,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000224,S704-FLD-377,Vibration,CFIHOS-44000007,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000400,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000144,S703-FLD-341,Bearings,CFIHOS-44000008,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000421,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000165,S703-FLD-364,Bearings,CFIHOS-44000009,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000448,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000192,S704-FLD-337,Bearings (general),CFIHOS-44000010,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
