CFIHOS unique code,source standard code,source standard description,source standard still to be completed indicator,,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-90000001,ANSI/ISA-75.05.01-2019,Control Valve Terminology,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000002,ANSI/ISA-84.00.01-2004 Part 1,"Functional Safety: Safety Instrumented Systems For The Process Industry Sector - Part 1: Framework, Definitions, System, Hardware And Software Requirements",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000003,API Spec 17D:2011,Design and Operation of Subsea Production Systems—Subsea Wellhead and Tree Equipment,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000004,API Spec 17J:2014,Specification for Unbonded Flexible Pipe,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000005,API Spec 17K:2017,Specification for Bonded Flexible Pipe,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000006,API Spec 2C:2020,Offshore Pedestal-Mounted Cranes,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000007,API Spec 5L:2018,Line Pipe,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000008,API Spec 6D:2014,Specification for Pipeline and Piping Valves,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000009,API Std 17F:2017,Standard for Subsea Production Control Systems,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000010,API Std 526:2017,Flanged Steel Pressure-Relief Valves,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000011,API Std 546:2008,Brushless Synchronous Machines—500 kVA and Larger,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000012,API Std 600:2015,"Steel Gate Valves—Flanged and Butt-Welding Ends, Bolted Bonnets",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000013,API Std 603:2018,"Corrosion-Resistant, Bolted Bonnet Gate Valves—Flanged and Butt-Welding Ends",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,13,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000014,API Std 609:2016,"Butterfly Valves: Double-Flanged, Lug- and Wafer-Type",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,14,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000015,API Std 610:2010,"Centrifugal Pumps for Petroleum, Petrochemical and Natural Gas Industries",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,15,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000016,API Std 611:2008,"General Purpose Steam Turbines for Petroleum, Chemical, and Gas Industry Services",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,16,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000017,API Std 612:2014,"Petroleum Petrochemical, and Natural Gas Industries—Steam Turbines—Special-Purpose Applications",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,17,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000018,API Std 613:2007,"Special Purpose Gear Units for Petroleum, Chemical and Gas Industry Services",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,18,source_reference_record,source_reference_record_unreviewed
