tag class CFIHOS unique code,tag class name,equipment class CFIHOS unique code,equipment class name,tag or equipment class relationship reason for mapping,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-30000395,absolute pressure transmitter,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000800,absorber column,CFIHOS-30000800,absorber column,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000315,accumulator,CFIHOS-30000315,accumulator,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000878,acoustic enclosure,CFIHOS-30000878,acoustic enclosure,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000878,acoustic enclosure,CFIHOS-30000537,hood,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000607,actuator,CFIHOS-30000336,electric actuator,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000607,actuator,CFIHOS-30000433,hydraulic actuator,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000607,actuator,CFIHOS-30000443,pneumatic actuator,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000801,adaptor connector,CFIHOS-30000801,adaptor connector,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000802,adsorber column,CFIHOS-30000802,adsorber column,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
