tag class CFIHOS unique code,tag class name,property CFIHOS unique code,property name,SI unit of measure CFIHOS unique code,SI unit of measure name,imperial unit of measure CFIHOS unique code,imperial unit of measure name,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000110,explosion protection gas group,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000112,explosion protection temperature class,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000113,explosion protection zone,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000663,explosion rated item,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000579,safety integrity level,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000800,absorber column,CFIHOS-40000026,bottom section normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000800,absorber column,CFIHOS-40000027,bottom section normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000800,absorber column,CFIHOS-40000487,design specification,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000800,absorber column,CFIHOS-40000613,external coating specification,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000800,absorber column,CFIHOS-40000114,external insulation type,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000800,absorber column,CFIHOS-40000132,fluid name,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000800,absorber column,CFIHOS-40000178,insulation code,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class property v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
