CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,source standard code CFIHOS unique code,source standard code,source standard section,property name in source standard,property sequence number,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-95000001,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-198,Equipment protection level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000002,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-198,Equipment protection level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000003,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-591,Equipment protection level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000004,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-556,Equipment protection level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000005,CFIHOS-30000805,alternating current motor,CFIHOS-40001387,adjustable speed drive operation curve requirements,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-172,ASD operation curve,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000006,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-572,Bearing housing vibration limits,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000007,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-537,Bearing housing vibration limits,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000008,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-174,Lubrication specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000009,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-174,Lubrication specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000010,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-546,Lubrication specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
