tag or equipment class CFIHOS unique code,tag or equipment class,source standard CFIHOS unique code,source standard code,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30001014,pinch control valve,CFIHOS-90000183,ANSI/ISA-75.10.01-2013,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001021,pinch valve,CFIHOS-90000183,ANSI/ISA-75.10.01-2013,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001031,underground storage tank,CFIHOS-90000204,API Recommended Practice 1631:1997,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001023,pin-actuated pressure relief valve,CFIHOS-90000196,API Recommended Practice 576:2017,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001026,beam pumpjack,CFIHOS-90000187,API Spec 11E:2022,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001020,long-stroke pumpjack,CFIHOS-90000187,API Spec 11E:2022,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001011,pumpjack,CFIHOS-90000187,API Spec 11E:2022,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001019,heater treater,CFIHOS-90000193,API Spec 12L:2008,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000806,ball control valve,CFIHOS-90000008,API Spec 6D:2014,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000807,ball valve,CFIHOS-90000008,API Spec 6D:2014,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001029,tote tank,CFIHOS-90000202,API Std 2CCU:2017,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000838,gate valve,CFIHOS-90000012,API Std 600:2015,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000837,gate control valve,CFIHOS-90000013,API Std 603:2018,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,13,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000521,centrifugal pump,CFIHOS-90000015,API Std 610:2010,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,14,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000556,steam turbine,CFIHOS-90000016,API Std 611:2008,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,15,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000556,steam turbine,CFIHOS-90000017,API Std 612:2014,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,16,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001030,trip and throttle valve,CFIHOS-90000203,API Std 612:2020,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,17,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000535,gear box,CFIHOS-90000018,API Std 613:2007,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,18,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000534,gas turbine,CFIHOS-90000019,API Std 616:2011,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,19,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000516,axial compressor,CFIHOS-90000020,API Std 617-1:2010,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,20,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000520,centrifugal compressor,CFIHOS-90000020,API Std 617-1:2010,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,21,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000516,axial compressor,CFIHOS-90000021,API Std 617-2:2010,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,22,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000520,centrifugal compressor,CFIHOS-90000021,API Std 617-2:2010,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,23,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000593,tank,CFIHOS-90000025,API Std 650:2012,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,24,source_reference_record,source_reference_record_unreviewed
