item_no,description,unit,rate,currency,raw_line,page,line,data_origin,is_real,source_artifact_id,annotation_origin,verification_status
1.1.1,Group A,Point,1406,INR,1.1.1 Group A Point 1406 ,12,14,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.1.2,Group B,Point,1661,INR,1.1.2 Group B Point 1661 ,12,16,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.1.3,Group C,Point,2078,INR,1.1.3 Group C Point 2078 ,12,18,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.3.1,Group A,Point,1429,INR,1.3.1 Group A Point 1429 ,12,45,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.3.2,Group B,Point,1684,INR,1.3.2 Group B Point 1684 ,12,47,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.3.3,Group C,Point,2101,INR,1.3.3 Group C Point 2101 ,12,49,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.1,2 X 1.5 sq. mm + 1 X 1.5 sq. mm earth wire,Metre,370,INR,1.7.1 2 X 1.5 sq. mm + 1 X 1.5 sq. mm earth wire Metre 370 ,13,40,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.2,2 X 2.5 sq. mm + 1 X 2.5 sq. mm earth wire,Metre,414,INR,1.7.2 2 X 2.5 sq. mm + 1 X 2.5 sq. mm earth wire Metre 414 ,13,41,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.3,2 X 4 sq. mm + 1 X 4 sq. mm earth wire,Metre,476,INR,1.7.3 2 X 4 sq. mm + 1 X 4 sq. mm earth wire Metre 476 ,13,42,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.4,2 X 6 sq. mm + 1 X 6 sq. mm earth wire,Metre,652,INR,1.7.4 2 X 6 sq. mm + 1 X 6 sq. mm earth wire Metre 652 ,13,43,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.5,2 X 10 sq. mm + 1 X 6 sq. mm earth wire,Metre,778,INR,1.7.5 2 X 10 sq. mm + 1 X 6 sq. mm earth wire Metre 778 ,13,44,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.6,2 X 16 sq. mm + 1 X 6 sq. mm earth wire,Metre,1020,INR,1.7.6 2 X 16 sq. mm + 1 X 6 sq. mm earth wire Metre 1020 ,13,45,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.7,4 X 2.5 sq. mm + 2 X 2.5 sq. mm earth wire,Metre,621,INR,1.7.7 4 X 2.5 sq. mm + 2 X 2.5 sq. mm earth wire Metre 621 ,13,46,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.8,4 X 4 sq. mm + 2 X 4 sq. mm earth wire,Metre,744,INR,1.7.8 4 X 4 sq. mm + 2 X 4 sq. mm earth wire Metre 744 ,13,47,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.9,4 X 6 sq. mm + 2 X 6 sq. mm earth wire,Metre,1001,INR,1.7.9 4 X 6 sq. mm + 2 X 6 sq. mm earth wire Metre 1001 ,13,48,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.10,4 X 10 sq. mm + 2 X 6 sq. mm earth wire,Metre,1253,INR,1.7.10 4 X 10 sq. mm + 2 X 6 sq. mm earth wire Metre 1253 ,13,49,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.7.11,4 X 16 sq. mm + 2 X 6 sq. mm earth wire,Metre,1760,INR,1.7.11 4 X 16 sq. mm + 2 X 6 sq. mm earth wire Metre 1760 ,13,50,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.8.1,Group A,Point,1166,INR,1.8.1 Group A Point 1166 ,14,3,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
