source_file,page,line_index,text,ocr_confidence,bbox_json,data_origin,is_real,source_artifact_id,annotation_origin,verification_status
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,1,WashingtonState,0.991837,"[[165.0,107.0],[357.0,107.0],[357.0,133.0],[165.0,133.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,2,Inspector's Daily Report,0.947961,"[[792.0,117.0],[1228.0,117.0],[1228.0,156.0],[792.0,156.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,3,DepartmentofTransportation,0.993552,"[[163.0,129.0],[492.0,127.0],[492.0,153.0],[163.0,155.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,4,IDRSheet,0.995867,"[[501.0,203.0],[595.0,203.0],[595.0,227.0],[501.0,227.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,5,of,0.991657,"[[739.0,204.0],[762.0,204.0],[762.0,227.0],[739.0,227.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,6,Sheets,0.994889,"[[977.0,203.0],[1042.0,203.0],[1042.0,228.0],[977.0,228.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,7,Contract,0.994628,"[[91.0,242.0],[160.0,242.0],[160.0,263.0],[91.0,263.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,8,Day,0.999252,"[[478.0,241.0],[514.0,241.0],[514.0,265.0],[478.0,265.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,9,Date,0.997803,"[[904.0,238.0],[947.0,242.0],[945.0,264.0],[901.0,260.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,10,8078,0.999598,"[[251.0,283.0],[310.0,283.0],[310.0,311.0],[251.0,311.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,11,Thursday,0.99882,"[[637.0,280.0],[737.0,284.0],[736.0,315.0],[636.0,311.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,12,"January13,2011",0.976023,"[[975.0,285.0],[1147.0,282.0],[1148.0,309.0],[975.0,311.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,13,"DIARY-Includingbutnot limited to:areportof theday’soperations,timelog(if applicable),ordersgiven andreceived,",0.936868,"[[89.0,328.0],[1079.0,327.0],[1079.0,353.0],[90.0,354.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,14,"discussionswithcontractor,andanyapplicablestatementsforthemonthlyestimate.",0.987012,"[[91.0,356.0],[792.0,356.0],[792.0,379.0],[91.0,379.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,15,ColumbiaRiverBridgeTemporaryPileTestProgram-,0.993857,"[[88.0,389.0],[640.0,389.0],[640.0,414.0],[88.0,414.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,16,"IcalledSteveBrannonwithAmericanConstructionCo.,Inc.(253)254-0118at3:35PMtoinform them that this",0.968145,"[[87.0,454.0],[1223.0,454.0],[1223.0,480.0],[87.0,480.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,17,contractwasawardedtotheirfirmtoday.SteveBrannonwasnotinofficetodayandIaskedthereceptionistto,0.989898,"[[86.0,489.0],[1192.0,489.0],[1192.0,515.0],[86.0,515.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,18,leavehim amessagethat thiscontractwas awarded to theirfirm today.Ialsoinformed themthat the20-calendar,0.963201,"[[86.0,521.0],[1218.0,521.0],[1218.0,549.0],[86.0,549.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,19,"daysfor executionwould require theyhavesigned contract returned toWsDOT byFebruary 2,2011 and",0.954098,"[[87.0,553.0],[1140.0,552.0],[1140.0,581.0],[87.0,582.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,20,"workingdayswouldbegintobechargedonFebruary7,2011.",0.982205,"[[88.0,589.0],[708.0,589.0],[708.0,615.0],[88.0,615.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,21,Keith Daly,0.991742,"[[526.0,1504.0],[642.0,1507.0],[641.0,1538.0],[525.0,1535.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,22,13/201,0.916804,"[[1141.0,1510.0],[1241.0,1510.0],[1241.0,1541.0],[1141.0,1541.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,23,DOTForm422-004AEF,0.989389,"[[81.0,1520.0],[267.0,1522.0],[266.0,1548.0],[80.0,1546.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,24,Revised07/2008,0.997672,"[[120.0,1545.0],[251.0,1545.0],[251.0,1568.0],[120.0,1568.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-13.pdf,1,25,Inspector,0.987594,"[[520.0,1540.0],[605.0,1540.0],[605.0,1567.0],[520.0,1567.0]]",real,True,sha256:69f3b461d41d7136ea17cd454d94c8980dfa0bc36c2684676b1fb538ffc1bc9f,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-14.pdf,1,1,From:,0.996141,"[[148.0,110.0],[221.0,113.0],[219.0,141.0],[147.0,137.0]]",real,True,sha256:ea6f2f929d6210eaaf1fa23e9438ca8707d93b7db2545c7371f722642452101c,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-14.pdf,1,2,"Daly, Keith",0.978713,"[[356.0,110.0],[468.0,110.0],[468.0,140.0],[356.0,140.0]]",real,True,sha256:ea6f2f929d6210eaaf1fa23e9438ca8707d93b7db2545c7371f722642452101c,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-14.pdf,1,3,To:,0.983346,"[[146.0,144.0],[190.0,144.0],[190.0,171.0],[146.0,171.0]]",real,True,sha256:ea6f2f929d6210eaaf1fa23e9438ca8707d93b7db2545c7371f722642452101c,machine_ocr,machine_extracted_unverified
raw/wsdot/C8078/idrs/IDR-2011-01-14.pdf,1,4,document.control;,0.99738,"[[357.0,144.0],[544.0,144.0],[544.0,170.0],[357.0,170.0]]",real,True,sha256:ea6f2f929d6210eaaf1fa23e9438ca8707d93b7db2545c7371f722642452101c,machine_ocr,machine_extracted_unverified
